,Pclass,Sex,Age,Fare
0,1.0,1,0.5,0.015
1,1.0,0,0.6,0.014
2,0.7,1,0.8,0.019
3,1.0,1,0.4,0.017
4,1.0,0,0.3,0.024
5,1.0,1,0.2,0.018
6,1.0,0,0.4,0.015
7,0.7,1,0.3,0.057
8,1.0,0,0.2,0.014
9,1.0,1,0.3,0.047
10,1.0,1,0.4,0.015
11,0.3,1,0.6,0.051
12,0.3,0,0.3,0.161
13,0.7,1,0.8,0.051
14,0.3,0,0.6,0.119
15,0.7,0,0.3,0.054
16,0.7,1,0.5,0.024
17,1.0,1,0.3,0.014
18,1.0,0,0.4,0.015
19,1.0,0,0.6,0.014
20,0.3,1,0.7,0.116
21,1.0,1,0.1,0.006
22,0.3,0,0.4,0.062
23,0.3,1,0.3,0.12
24,0.3,0,0.6,0.512
25,1.0,1,0.7,0.028
26,0.3,0,0.3,0.121
27,1.0,1,0.3,0.014
28,0.3,1,0.5,0.06
29,1.0,1,0.4,0.042
30,0.7,1,0.7,0.051
31,0.7,1,0.3,0.061
32,1.0,0,0.4,0.04
33,1.0,0,0.4,0.046
34,0.3,1,0.4,0.113
35,1.0,1,0.2,0.014
36,1.0,0,0.4,0.016
37,1.0,0,0.3,0.017
38,1.0,1,0.3,0.019
39,1.0,1,0.4,0.11
40,1.0,1,0.5,0.026
41,0.3,1,0.4,0.052
42,1.0,1,0.5,0.015
43,0.7,0,0.4,0.025
44,0.3,0,0.6,0.103
45,1.0,1,0.3,0.015
46,0.3,1,0.6,0.058
47,1.0,1,0.4,0.015
48,0.3,0,0.8,0.149
49,1.0,0,0.5,0.031
50,0.3,1,0.3,0.117
51,0.7,1,0.4,0.029
52,0.7,0,0.3,0.045
53,0.3,0,0.4,0.513
54,0.7,1,0.4,0.03
55,1.0,1,0.1,0.057
56,1.0,1,0.5,0.015
57,1.0,1,0.3,0.015
58,1.0,1,0.4,0.031
59,0.3,0,0.5,0.512
60,1.0,1,0.2,0.015
61,0.7,1,0.4,0.026
62,1.0,1,0.2,0.015
63,1.0,0,0.3,0.015
64,0.3,1,0.2,0.512
65,0.7,0,0.4,0.041
66,1.0,0,0.2,0.015
67,0.3,1,0.6,0.083
68,0.3,1,0.4,0.056
69,0.3,0,0.8,0.513
70,1.0,0,0.3,0.015
71,1.0,1,0.3,0.015
72,1.0,0,0.4,0.015
73,0.3,1,0.4,0.054
74,0.3,0,0.5,0.413
75,0.3,1,0.4,0.413
76,1.0,1,0.4,0.016
77,0.3,0,0.7,0.05
78,0.7,1,0.4,0.025
79,1.0,0,0.3,0.015
80,1.0,1,0.1,0.03
81,0.3,1,0.9,0.433
82,0.3,1,0.6,0.051
83,1.0,1,0.4,0.015
84,0.7,1,0.4,0.021
85,1.0,1,0.4,0.028
86,1.0,0,0.4,0.015
87,1.0,0,0.2,0.016
88,1.0,0,0.4,0.015
89,0.7,1,0.0,0.045
90,1.0,0,0.3,0.027
91,1.0,1,0.4,0.015
92,0.3,0,0.4,0.101
93,1.0,1,0.4,0.016
94,0.3,1,0.3,0.051
95,1.0,1,0.3,0.015
96,0.3,0,1.0,0.154
97,1.0,1,0.4,0.015
98,1.0,0,0.3,0.015
99,1.0,1,0.4,0.016
100,0.3,0,0.6,0.108
101,0.7,1,0.4,0.051
102,1.0,1,0.4,0.015
103,1.0,1,0.3,0.015
104,1.0,0,0.2,0.017
105,1.0,1,0.4,0.044
106,1.0,1,0.3,0.015
107,1.0,1,0.4,0.015
108,1.0,1,0.4,0.017
109,0.7,1,0.2,0.025
110,0.7,1,0.5,0.029
111,1.0,0,0.4,0.015
112,0.3,0,0.5,0.062
113,1.0,0,0.2,0.014
114,0.3,0,0.8,0.433
115,1.0,1,0.2,0.028
116,1.0,1,0.4,0.013
117,1.0,0,0.0,0.033
118,0.3,1,0.5,0.147
119,0.7,0,0.4,0.051
120,0.7,0,0.2,0.031
121,1.0,1,0.4,0.015
122,0.3,0,0.5,0.113
123,1.0,1,0.4,0.014
124,1.0,1,0.4,0.015
125,1.0,0,0.2,0.031
126,1.0,1,0.3,0.015
127,1.0,0,0.4,0.045
128,0.7,1,0.6,0.025
129,1.0,1,0.3,0.016
130,1.0,1,0.4,0.016
131,0.3,1,0.7,0.056
132,1.0,0,0.4,0.05
133,1.0,1,0.4,0.013
134,1.0,1,0.6,0.015
135,1.0,1,0.3,0.015
136,1.0,1,0.3,0.014
137,0.7,1,0.3,0.025
138,1.0,0,0.3,0.016
139,1.0,1,0.5,0.092
140,1.0,0,0.1,0.092
141,0.3,0,0.4,0.296
142,0.3,1,0.8,0.512
143,0.7,1,0.4,0.051
144,0.3,1,0.6,0.052
145,1.0,1,0.4,0.035
146,0.3,1,0.4,0.101
147,1.0,1,0.3,0.016
148,0.3,1,0.4,0.052
149,0.7,1,0.4,0.051
150,0.3,0,0.3,0.162
151,1.0,1,0.4,0.015
152,1.0,1,0.8,0.07
153,1.0,0,0.5,0.024
154,1.0,1,0.2,0.061
155,1.0,1,0.3,0.015
156,0.3,0,0.4,0.433
157,1.0,0,0.3,0.015
158,0.3,1,0.6,0.052
159,1.0,0,0.3,0.027
160,1.0,0,0.4,0.015
161,1.0,1,0.1,0.03
162,0.7,0,0.3,0.026
163,1.0,1,0.4,0.014
164,0.7,1,0.5,0.025
165,1.0,0,0.3,0.043
166,0.3,1,0.6,0.099
167,1.0,1,0.2,0.067
168,0.3,0,0.4,0.054
169,1.0,0,0.3,0.017
170,1.0,1,0.4,0.015
171,1.0,1,0.4,0.014
172,1.0,1,0.3,0.027
173,1.0,1,0.4,0.014
174,1.0,1,0.5,0.061
175,0.7,0,0.2,0.076
176,0.7,0,0.3,0.072
177,0.3,1,0.7,0.108
178,0.7,0,0.5,0.076
179,0.3,0,0.8,0.162
180,0.7,1,0.4,0.025
181,0.3,1,0.5,0.162
182,0.3,0,0.2,0.104
183,1.0,1,0.4,0.015
184,0.3,0,0.4,0.483
185,0.7,1,0.5,0.031
186,0.7,0,0.3,0.041
187,1.0,1,0.2,0.016
188,1.0,0,0.4,0.136
189,0.7,1,0.5,0.025
190,0.7,1,0.4,0.051
191,0.3,1,0.4,0.051
192,1.0,1,0.2,0.028
193,0.7,1,0.8,0.024
194,0.7,1,0.1,0.063
195,1.0,1,0.4,0.015
196,0.3,1,0.1,0.263
197,1.0,0,0.2,0.015
198,0.7,1,0.3,0.02
199,1.0,0,0.4,0.016
200,1.0,0,0.4,0.03
201,1.0,1,0.0,0.028
202,0.3,1,0.6,0.444
203,0.7,0,0.1,0.051
204,0.7,1,0.3,0.02
205,0.3,1,0.4,0.05
206,1.0,0,0.5,0.015
207,0.7,1,0.3,0.02
208,0.3,0,0.4,0.054
209,1.0,1,0.3,0.015
210,1.0,1,0.4,0.044
211,1.0,1,0.4,0.014
212,0.7,1,0.2,0.143
213,0.7,0,0.8,0.051
214,1.0,0,0.5,0.015
215,0.3,1,0.6,0.083
216,1.0,0,0.4,0.015
217,0.3,1,0.8,0.322
218,0.3,0,0.7,0.413
219,1.0,1,0.4,0.016
220,0.7,0,0.4,0.027
221,1.0,1,0.3,0.016
222,0.7,0,0.3,0.02
223,1.0,1,0.3,0.015
224,0.3,0,0.7,0.054
225,1.0,0,0.4,0.03
226,1.0,1,0.3,0.015
227,1.0,0,0.4,0.015
228,1.0,1,0.5,0.029
229,0.7,1,0.5,0.025
230,0.7,1,0.2,0.127
231,0.3,0,0.3,0.052
232,1.0,1,0.3,0.013
233,1.0,1,0.4,0.015
234,0.3,1,0.5,0.139
235,1.0,1,0.3,0.015
236,0.3,1,0.8,0.147
237,1.0,1,0.3,0.014
238,0.7,0,0.2,0.025
239,0.3,0,0.6,0.208
240,0.3,0,0.7,0.054
241,0.7,0,0.6,0.059
242,0.3,1,0.6,0.263
243,1.0,1,0.4,0.015
244,1.0,1,0.4,0.046
245,0.3,1,0.5,0.101
246,0.7,0,0.3,0.041
247,0.7,1,0.6,0.063
248,0.7,0,0.4,0.051
249,1.0,0,0.4,0.028
250,0.7,0,0.0,0.054
251,1.0,1,0.3,0.015
252,0.3,1,0.4,0.267
253,1.0,1,0.3,0.018
254,1.0,1,0.4,0.019
255,1.0,1,0.4,0.015
256,1.0,1,0.4,0.015
257,1.0,1,0.4,0.016
258,0.7,0,0.2,0.025
259,1.0,1,0.3,0.015
260,1.0,1,0.5,0.034
261,1.0,1,0.3,0.015
262,0.7,0,0.4,0.045
263,1.0,0,0.0,0.024
264,0.7,1,0.4,0.025
265,1.0,1,0.4,0.015
266,0.3,1,0.4,0.0
267,1.0,1,0.4,0.015
268,1.0,0,0.4,0.016
269,1.0,1,0.2,0.017
270,0.3,1,0.6,0.147
271,1.0,1,0.4,0.015
272,0.3,0,0.3,0.267
273,1.0,0,0.4,0.03
274,1.0,1,0.4,0.014
275,0.7,0,0.3,0.051
276,0.7,1,0.4,0.02
277,0.7,1,0.5,0.051
278,0.7,1,0.4,0.041
279,0.7,1,0.3,0.02
280,1.0,0,0.3,0.017
281,1.0,1,0.0,0.027
282,1.0,0,0.4,0.015
283,1.0,0,0.1,0.03
284,1.0,0,0.0,0.039
285,1.0,1,0.5,0.014
286,1.0,1,0.4,0.014
287,0.3,1,0.3,0.161
288,1.0,1,0.4,0.014
289,1.0,1,0.4,0.016
290,0.3,1,0.4,0.077
291,1.0,0,0.4,0.014
292,1.0,1,0.4,0.014
293,0.3,1,0.7,0.16
294,1.0,1,0.5,0.019
295,1.0,1,0.3,0.015
296,0.7,0,0.0,0.081
297,1.0,1,0.4,0.042
298,0.3,1,0.4,0.089
299,1.0,1,0.4,0.015
300,1.0,1,0.4,0.015
301,0.7,1,0.4,0.029
302,0.7,1,0.6,0.041
303,1.0,1,0.3,0.017
304,1.0,0,0.4,0.015
305,0.3,0,0.8,0.052
306,0.3,1,0.4,0.296
307,1.0,1,0.0,0.018
308,0.3,1,0.7,0.182
309,1.0,0,0.6,0.028
310,1.0,1,0.2,0.017
311,1.0,1,0.3,0.014
312,1.0,1,0.4,0.015
313,1.0,0,0.5,0.015
314,0.3,0,0.7,0.265
315,1.0,0,0.2,0.015
316,0.3,1,0.8,0.286
317,0.7,1,0.2,0.02
318,1.0,1,0.4,0.015
319,0.7,1,0.3,0.061
320,1.0,1,0.3,0.015
321,1.0,1,0.3,0.014
322,0.7,1,0.3,0.025
323,0.3,1,0.4,0.052
324,0.3,0,0.5,0.413
325,1.0,1,0.3,0.014
326,0.7,0,0.2,0.076
327,0.3,1,0.6,0.155
328,0.7,1,0.4,0.051
329,0.7,1,0.3,0.025
330,0.7,0,0.6,0.072
331,0.3,1,0.5,0.058
332,1.0,1,0.4,0.014
333,1.0,0,0.2,0.031
334,1.0,1,0.4,0.015
335,0.3,1,0.4,0.051
336,0.7,1,0.4,0.025
337,1.0,1,0.5,0.014
338,0.7,1,0.3,0.061
339,1.0,1,0.4,0.014
340,0.7,1,0.2,0.02
341,1.0,1,0.4,0.015
342,1.0,1,0.4,0.136
343,0.3,0,0.8,1.0
344,1.0,1,0.4,0.028
345,1.0,0,0.2,0.015
346,0.7,1,0.3,0.025
347,1.0,0,0.5,0.014
348,0.7,1,0.3,0.026
349,0.7,0,0.4,0.041
350,0.3,0,0.6,0.124
351,0.7,1,0.3,0.02
352,0.7,1,0.2,0.143
353,0.7,1,0.6,0.127
354,1.0,0,0.0,0.04
355,0.3,1,0.7,0.051
356,0.3,0,0.8,0.1
357,1.0,1,0.4,0.015
358,1.0,1,0.4,0.015
359,1.0,0,0.4,0.03
360,1.0,1,0.2,0.136
361,0.7,0,0.3,0.072
362,0.7,0,0.4,0.041
363,1.0,1,0.4,0.017
364,0.3,0,0.3,0.108
365,1.0,0,0.4,0.136
366,1.0,1,0.4,0.028
367,1.0,0,0.3,0.077
368,0.3,0,0.6,0.116
369,0.7,1,0.4,0.027
370,0.7,1,0.3,0.022
371,0.3,0,0.4,0.263
372,0.3,1,0.6,0.0
373,0.7,1,0.6,0.025
374,0.3,0,0.7,0.16
375,0.3,0,0.6,0.512
376,1.0,0,0.3,0.017
377,0.7,1,0.3,0.022
378,0.3,1,0.7,0.098
379,1.0,1,0.1,0.061
380,1.0,1,0.4,0.015
381,1.0,1,0.3,0.015
382,1.0,0,0.4,0.028
383,1.0,0,0.2,0.031
384,0.7,1,0.4,0.025
385,0.7,0,0.3,0.127
386,1.0,1,0.3,0.015
387,0.7,1,0.8,0.025
388,1.0,1,0.3,0.015
389,1.0,1,0.1,0.041
390,0.3,1,0.3,0.182
391,0.3,0,0.7,0.077
392,1.0,1,0.2,0.04
393,0.7,1,0.6,0.02
394,1.0,1,0.4,0.043
395,0.3,0,0.2,0.117
396,1.0,1,0.3,0.014
397,0.3,0,0.6,0.155
398,1.0,1,0.3,0.015
399,1.0,1,0.4,0.015
400,0.3,0,0.4,0.322
401,0.7,1,0.5,0.041
402,0.3,0,0.3,0.116
403,0.3,1,0.2,0.092
404,0.3,1,0.6,0.054
405,0.7,1,0.3,0.027
406,0.7,1,0.3,0.02
407,0.3,1,0.7,0.413
408,1.0,0,0.4,0.015
409,1.0,0,0.0,0.027
410,1.0,0,0.4,0.015
411,0.3,0,0.5,0.176
412,1.0,0,0.4,0.015
413,1.0,1,0.4,0.016
414,0.3,0,0.5,0.213
415,1.0,1,0.5,0.014
416,1.0,1,0.4,0.016
417,1.0,1,0.4,0.044
